district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status,score
001903,ELKHART ISD,ANDERSON COUNTY,1187,https://www.elkhartisd.org,boardbook,https://meetings.boardbook.org/UserUploads/1307/Images/ELKS,,,"Crawler found: boardbook, zoom. Crawled 7 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
001904,FRANKSTON ISD,ANDERSON COUNTY,811,https://www.frankstonisd.net,youtube,https://www.youtube.com/channel/UCOC4bEZWeDvclv9C3dnvjFw,,channel/UCOC4bEZWeDvclv9C3dnvjFw,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 93/100.",high,2026-04-21,crawler_found,93
001907,PALESTINE ISD,ANDERSON COUNTY,3186,https://www.palestineschools.org,youtube,https://www.youtube.com/@palestineisd,,@palestineisd,"Crawler found: facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
001908,WESTWOOD ISD,ANDERSON COUNTY,1387,https://www.westwoodisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2047,,,Crawler found: boardbook. Crawled 5 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
002901,ANDREWS ISD,ANDREWS COUNTY,4209,https://www.andrewsisd.net,website_archive,https://www.andrews.esc18.net/,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
003902,HUDSON ISD,ANGELINA COUNTY,2777,https://www.hudsonisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/1672,,,Crawler found: boardbook. Crawled 2 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
003903,LUFKIN ISD,ANGELINA COUNTY,6865,https://www.lufkinisd.org,youtube,https://www.youtube.com/@LufkinAV,,@LufkinAV,"Crawler found: diligent, facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
003904,HUNTINGTON ISD,ANGELINA COUNTY,1564,https://www.huntingtonisd.com,youtube,https://www.youtube.com/@huntingtonisd861,,@huntingtonisd861,Crawler found: youtube. Crawled 6 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
003905,DIBOLL ISD,ANGELINA COUNTY,1582,https://www.dibollisd.org,boardbook,https://www.dibollisd.com/54473_3,,,Crawler found: boardbook. Crawled 8 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
003906,ZAVALLA ISD,ANGELINA COUNTY,303,https://www.zavallaisd.org,facebook_live,https://www.zavallaisd.org/live-feed,,,Crawler found: facebook_live. Crawled 2 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
003907,CENTRAL ISD,ANGELINA COUNTY,1497,https://www.centralisd.com,youtube,https://www.youtube.com/@BulldogDigitalMedia,,@BulldogDigitalMedia,"Crawler found: boardbook, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-25,crawler_found,85
005901,ARCHER CITY ISD,ARCHER COUNTY,484,https://www.archercityisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2988,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
005902,HOLLIDAY ISD,ARCHER COUNTY,1120,https://www.hollidayisd.net,diligent,https://www.hollidayisd.net/150811_2,,,"Crawler found: boardbook, diligent. Crawled 1 pages. Score: 93/100.",high,2026-04-21,crawler_found,93
006902,CLAUDE ISD,ARMSTRONG COUNTY,297,https://www.claudeisd.net,youtube,https://www.youtube.com/@claudemustangs,,@claudemustangs,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
007901,CHARLOTTE ISD,ATASCOSA COUNTY,424,https://www.charlotteisd.net,website_archive,https://www.charlotteisd.net/vnews/display.v/SEC/Administration%7CSchool%20Board,,,Crawler found: website_archive. Crawled 5 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
007902,JOURDANTON ISD,ATASCOSA COUNTY,1554,https://www.jourdantonisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1836\\\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
007904,LYTLE ISD,ATASCOSA COUNTY,1825,https://www.lytleisd.org,youtube,https://www.youtube.com/@LytleISDPirates,,@LytleISDPirates,"Crawler found: facebook_live, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
007905,PLEASANTON ISD,ATASCOSA COUNTY,3406,https://www.pleasanton.org,youtube,https://youtube.com/user/pleasantonchamber,,@pleasantonchamber,"Crawler found: youtube, vimeo. Crawled 1 pages. Score: 83/100.",medium,2026-04-21,crawler_found,83
007906,POTEET ISD,ATASCOSA COUNTY,1837,https://www.poteetisd.org,website_archive,https://www.poteetisd.org/school-board,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
008901,BELLVILLE ISD,AUSTIN COUNTY,2315,https://www.bellvilleisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/2334,,,Crawler found: boardbook. Crawled 4 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
008902,SEALY ISD,AUSTIN COUNTY,3109,https://www.sealyisd.com,boardbook,https://www.sealyisd.com/about_us/board_of_trustees,,,Crawler found: boardbook. Crawled 3 pages. Score: 50/100.,low,2026-04-21,crawler_found,50
008903,BRAZOS ISD,AUSTIN COUNTY,866,https://www.brazosisd.net,boardbook,https://www.brazosisd.net/page/board,,,Crawler found: boardbook. Crawled 2 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
009901,MULESHOE ISD,BAILEY COUNTY,1330,https://www.muleshoeisd.net,youtube,https://www.youtube.com/@MuleshoeISDMules,,@MuleshoeISDMules,"Crawler found: boardbook, facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
010901,MEDINA ISD,BANDERA COUNTY,243,https://www.medinaisd.org,website_archive,https://www.medinaisd.org/school-board,,,Crawler found: website_archive. Crawled 5 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
010902,BANDERA ISD,BANDERA COUNTY,2218,https://www.banderaisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1846,,,Crawler found: boardbook. Crawled 2 pages. Score: 50/100.,low,2026-04-21,crawler_found,50
