district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status,latitude,longitude,coordinate_source
001902,CAYUGA ISD,ANDERSON COUNTY,577,https://www.cayugaisd.org,youtube,https://www.youtube.com/@CayugaISD,,@CayugaISD,"Google search found: Cayuga ISD - YouTube. Query: site:youtube.com ""CAYUGA ISD"" board meeting",high,2026-04-26,auto_discovered,31.922490,-95.923651,nces_edge_2023_24
001903,ELKHART ISD,ANDERSON COUNTY,1187,https://www.elkhartisd.org,boardbook,https://meetings.boardbook.org/UserUploads/1307/Images/ELKS,,,"Crawler found: boardbook, zoom. Crawled 7 pages. Score: 85/100.",high,2026-04-21,auto_discovered,31.627359107297,-95.57848995728,census_geocoder
001904,FRANKSTON ISD,ANDERSON COUNTY,811,https://www.frankstonisd.net,youtube,https://www.youtube.com/channel/UCOC4bEZWeDvclv9C3dnvjFw,,channel/UCOC4bEZWeDvclv9C3dnvjFw,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 93/100.",high,2026-04-21,auto_discovered,32.062246,-95.504272,nces_edge_2023_24
001906,NECHES ISD,ANDERSON COUNTY,337,https://nechesisd.net,,,,,Cleared: yt_other:watch does not contain any token or acronym of 'NECHES ISD',,,pending,31.874884,-95.475810,nces_edge_2023_24
001907,PALESTINE ISD,ANDERSON COUNTY,3186,https://www.palestineschools.org,youtube,https://www.youtube.com/@palestineisd,,@palestineisd,"Crawler found: facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,auto_discovered,31.757713738075,-95.618913350792,census_geocoder
001908,WESTWOOD ISD,ANDERSON COUNTY,1387,https://www.westwoodisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2047,,,Crawler found: boardbook. Crawled 5 pages. Score: 85/100.,high,2026-04-21,auto_discovered,31.728919053788,-95.679350377673,census_geocoder
001909,SLOCUM ISD,ANDERSON COUNTY,323,https://www.slocumisd.org,,,,,,,,pending,31.63111016177,-95.46176969957,census_geocoder
002901,ANDREWS ISD,ANDREWS COUNTY,4209,https://www.andrewsisd.net,website_archive,https://www.andrews.esc18.net/,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,auto_discovered,32.321059866251,-102.551184078393,census_geocoder
003902,HUDSON ISD,ANGELINA COUNTY,2777,https://www.hudsonisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/1672,,,Crawler found: boardbook. Crawled 2 pages. Score: 85/100.,high,2026-04-21,auto_discovered,31.317363642008,-94.828025760186,census_geocoder
003903,LUFKIN ISD,ANGELINA COUNTY,6865,https://www.lufkinisd.org,youtube,https://www.youtube.com/@LufkinAV,,@LufkinAV,"Crawler found: diligent, facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,auto_discovered,31.350061498722,-94.689774275132,census_geocoder
003904,HUNTINGTON ISD,ANGELINA COUNTY,1564,https://www.huntingtonisd.com,youtube,https://www.youtube.com/@huntingtonisd861,,@huntingtonisd861,Crawler found: youtube. Crawled 6 pages. Score: 100/100.,high,2026-04-21,auto_discovered,31.285403,-94.571942,nces_edge_2023_24
003905,DIBOLL ISD,ANGELINA COUNTY,1582,https://www.dibollisd.org,boardbook,https://www.dibollisd.com/54473_3,,,Crawler found: boardbook. Crawled 8 pages. Score: 85/100.,high,2026-04-21,auto_discovered,31.193718597602,-94.769290015054,census_geocoder
003906,ZAVALLA ISD,ANGELINA COUNTY,303,https://www.zavallaisd.org,facebook_live,https://www.zavallaisd.org/live-feed,,,Crawler found: facebook_live. Crawled 2 pages. Score: 85/100.,high,2026-04-21,auto_discovered,31.158618900973,-94.421305178918,census_geocoder
003907,CENTRAL ISD,ANGELINA COUNTY,1497,https://www.centralisd.com,,,,,Cleared: yt_handle:bulldogdigitalmedia does not contain any token or acronym of 'CENTRAL ISD',,,pending,31.427974822829,-94.810627657548,census_geocoder
004901,ROCKPORT-FULTON ISD,ARANSAS COUNTY,2913,https://rfisd.org,youtube,https://www.youtube.com/channel/UCxahxSbdWJuPK-ggB4ocAUw,,UCxahxSbdWJuPK-ggB4ocAUw,Found via YT API: channel 'Rockport-Fulton ISD',medium,2026-04-17,verified,28.028728,-97.052987,nces_edge_2023_24
005901,ARCHER CITY ISD,ARCHER COUNTY,484,https://www.archercityisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/2988,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,auto_discovered,33.588640,-98.629797,nces_edge_2023_24
005902,HOLLIDAY ISD,ARCHER COUNTY,1120,https://www.hollidayisd.net,diligent,https://www.hollidayisd.net/150811_2,,,"Crawler found: boardbook, diligent. Crawled 1 pages. Score: 93/100.",high,2026-04-21,auto_discovered,33.809110,-98.688906,nces_edge_2023_24
005904,WINDTHORST ISD,ARCHER COUNTY,506,https://www.windthorstisd.org,,,,,,,,pending,33.574027,-98.439576,nces_edge_2023_24
006902,CLAUDE ISD,ARMSTRONG COUNTY,297,https://www.claudeisd.net,youtube,https://www.youtube.com/@claudemustangs,,@claudemustangs,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,auto_discovered,35.106225,-101.366322,nces_edge_2023_24
007901,CHARLOTTE ISD,ATASCOSA COUNTY,424,https://www.charlotteisd.net,granicus,https://charlotte.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,auto_discovered,28.920708110513,-98.546822243838,census_geocoder
007902,JOURDANTON ISD,ATASCOSA COUNTY,1554,https://www.jourdantonisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1836\\\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 85/100.",high,2026-04-21,auto_discovered,28.910552793151,-98.54069502062,census_geocoder
007904,LYTLE ISD,ATASCOSA COUNTY,1825,https://www.lytleisd.org,youtube,https://www.youtube.com/@LytleISDPirates,,@LytleISDPirates,"Crawler found: facebook_live, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,auto_discovered,29.232896,-98.803838,nces_edge_2023_24
007905,PLEASANTON ISD,ATASCOSA COUNTY,3406,https://www.pleasanton.org,youtube,https://youtube.com/user/pleasantonchamber,,@pleasantonchamber,"Crawler found: youtube, vimeo. Crawled 1 pages. Score: 83/100.",medium,2026-04-21,auto_discovered,,,
007906,POTEET ISD,ATASCOSA COUNTY,1837,https://www.poteetisd.org,website_archive,https://www.poteetisd.org/school-board,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,auto_discovered,29.041527,-98.569240,nces_edge_2023_24
008901,BELLVILLE ISD,AUSTIN COUNTY,2315,https://www.bellvilleisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/2334,,,Crawler found: boardbook. Crawled 4 pages. Score: 100/100.,high,2026-04-21,auto_discovered,29.945281664461,-96.256386871995,census_geocoder
008902,SEALY ISD,AUSTIN COUNTY,3109,https://www.sealyisd.com,boardbook,https://www.sealyisd.com/about_us/board_of_trustees,,,Crawler found: boardbook. Crawled 3 pages. Score: 50/100.,low,2026-04-21,auto_discovered,29.772978333915,-96.159961907526,census_geocoder
008903,BRAZOS ISD,AUSTIN COUNTY,866,https://www.brazosisd.net,boardbook,https://www.brazosisd.net/page/board,,,Crawler found: boardbook. Crawled 2 pages. Score: 78/100.,medium,2026-04-21,auto_discovered,29.619114,-96.036923,nces_edge_2023_24
009901,MULESHOE ISD,BAILEY COUNTY,1330,https://www.muleshoeisd.net,youtube,https://www.youtube.com/@MuleshoeISDMules,,@MuleshoeISDMules,"Crawler found: boardbook, facebook_live, youtube. Crawled 2 pages. Score: 85/100.",high,2026-04-21,auto_discovered,34.223829146194,-102.732534522263,census_geocoder
010901,MEDINA ISD,BANDERA COUNTY,243,https://www.medinaisd.org,website_archive,https://www.medinaisd.org/school-board,,,Crawler found: website_archive. Crawled 5 pages. Score: 45/100.,low,2026-04-21,auto_discovered,29.799550,-99.248353,nces_edge_2023_24
010902,BANDERA ISD,BANDERA COUNTY,2218,https://www.banderaisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1846,,,Crawler found: boardbook. Crawled 2 pages. Score: 50/100.,low,2026-04-21,auto_discovered,29.724241,-99.076604,nces_edge_2023_24
011901,BASTROP ISD,BASTROP COUNTY,13370,https://www.bastrop.net,,,,,,,,pending,30.112793516643,-97.316275437927,census_geocoder
011902,ELGIN ISD,BASTROP COUNTY,5959,https://www.elginisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/Elgin,,,"Crawler found: boardbook, zoom. Crawled 8 pages. Score: 100/100.",high,2026-04-21,auto_discovered,30.206326331259,-97.30135696241,census_geocoder
011904,SMITHVILLE ISD,BASTROP COUNTY,1849,https://www.smithvilleisd.org,website_archive,https://www.smithvilleisd.org/live-feed,,,Crawler found: website_archive. Crawled 2 pages. Score: 60/100.,medium,2026-04-21,auto_discovered,30.112793516643,-97.316275437927,census_geocoder
011905,MCDADE ISD,BASTROP COUNTY,377,https://www.mcdadeisd.net,,,,,,,,pending,30.283488,-97.239533,nces_edge_2023_24
012901,SEYMOUR ISD,BAYLOR COUNTY,594,https://www.seymour-isd.org,,,,,,,,pending,33.593074754771,-99.265563603626,census_geocoder
013801,ST MARY'S ACADEMY CHARTER SCHOOL,BEE COUNTY,282,,,,,,,,,pending,28.408227761836,-97.74423720055,census_geocoder
013901,BEEVILLE ISD,BEE COUNTY,3033,https://www.beevilleisd.org,,,,,,,,pending,28.402975713492,-97.74870673857,census_geocoder
013902,PAWNEE ISD,BEE COUNTY,630,https://www.pawneeisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1961\\\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 100/100.",high,2026-04-21,auto_discovered,28.651645,-98.004333,nces_edge_2023_24
013903,PETTUS ISD,BEE COUNTY,377,https://www.pettusisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/1859,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,auto_discovered,28.624796,-97.801225,nces_edge_2023_24
013905,SKIDMORE-TYNAN ISD,BEE COUNTY,775,,,,,,,,,pending,28.253808467966,-97.687325769773,census_geocoder
014803,PRIORITY CHARTER SCHOOLS,BELL COUNTY,504,https://www.prioritycharterschools.org,facebook_live,https://www.prioritycharterschools.org/live-feed,,,"Crawler found: facebook_live, zoom. Crawled 4 pages. Score: 100/100.",high,2026-04-21,auto_discovered,31.147987,-97.457149,nces_edge_2023_24
014804,ORENDA CHARTER SCHOOL,BELL COUNTY,1984,,,,,,,,,pending,30.662270026805,-97.691248804584,census_geocoder
014901,ACADEMY ISD,BELL COUNTY,1832,https://www.academyisd.net,,,,,Cleared: boardbook URL shared by 2 districts; not uniquely a ACADEMY ISD URL,,,pending,30.982017648592,-97.345935137114,census_geocoder
014902,BARTLETT ISD,BELL COUNTY,393,https://www.bartlettschools.org,website_archive,https://www.bartlettschools.org/board/board,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,auto_discovered,30.797547,-97.422013,nces_edge_2023_24
014903,BELTON ISD,BELL COUNTY,13697,https://www.bisd.net,youtube,https://www.youtube.com/channel/UC_aM8OsTI3PMDsgszlHA2og?view_as=subscriber,,@BeltonISD,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,auto_discovered,31.11582585347,-97.67681347419,census_geocoder
014905,HOLLAND ISD,BELL COUNTY,646,https://www.hollandisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/2290,,,Crawler found: boardbook. Crawled 3 pages. Score: 65/100.,medium,2026-04-21,auto_discovered,30.880299,-97.410490,nces_edge_2023_24
014906,KILLEEN ISD,BELL COUNTY,42883,https://www.killeenisd.org,swagit,https://killeenisdtx.new.swagit.com/,,,Board meetings and workshops archived on Swagit platform,high,2026-01-20,verified,31.124807501003,-97.723506952747,census_geocoder
014907,ROGERS ISD,BELL COUNTY,893,https://www.rogersisd.org,youtube,https://meetings.boardbook.org/Public/Organization/1048,,,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 85/100.",high,2026-04-21,auto_discovered,30.9294217427,-97.230524156617,census_geocoder
014908,SALADO ISD,BELL COUNTY,2429,https://www.saladoisd.org,none_found,https://meetings.boardbook.org/Public/Organization/1288,,,BoardBook for agendas. District has promotional videos but no board meeting recordings found,low,2026-01-15,verified,30.951920,-97.534979,nces_edge_2023_24
014909,TEMPLE ISD,BELL COUNTY,8764,https://www.tisd.org,youtube,http://www.youtube.com/channel/UCK8dUEScX7-_besvdZTxB3A,,channel/UCK8dUEScX7-_besvdZTxB3A,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,auto_discovered,31.076856528266,-97.401088680024,census_geocoder
014910,TROY ISD,BELL COUNTY,1732,https://www.troyisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/907,,,Crawler found: boardbook. Crawled 3 pages. Score: 85/100.,high,2026-04-21,auto_discovered,31.209730,-97.305398,nces_edge_2023_24
015814,POSITIVE SOLUTIONS CHARTER SCHOOL,BEXAR COUNTY,93,,,,,,,,,pending,29.438145635232,-98.502859167733,census_geocoder
