district_id,district_name,county,enrollment
001902,CAYUGA ISD,ANDERSON COUNTY,577
001903,ELKHART ISD,ANDERSON COUNTY,1187
001904,FRANKSTON ISD,ANDERSON COUNTY,811
001906,NECHES ISD,ANDERSON COUNTY,337
001907,PALESTINE ISD,ANDERSON COUNTY,3186
001908,WESTWOOD ISD,ANDERSON COUNTY,1387
001909,SLOCUM ISD,ANDERSON COUNTY,323
002901,ANDREWS ISD,ANDREWS COUNTY,4209
003902,HUDSON ISD,ANGELINA COUNTY,2777
003903,LUFKIN ISD,ANGELINA COUNTY,6865
003904,HUNTINGTON ISD,ANGELINA COUNTY,1564
003905,DIBOLL ISD,ANGELINA COUNTY,1582
003906,ZAVALLA ISD,ANGELINA COUNTY,303
003907,CENTRAL ISD,ANGELINA COUNTY,1497
004901,ROCKPORT-FULTON ISD,ARANSAS COUNTY,2913
005901,ARCHER CITY ISD,ARCHER COUNTY,484
005902,HOLLIDAY ISD,ARCHER COUNTY,1120
005904,WINDTHORST ISD,ARCHER COUNTY,506
006902,CLAUDE ISD,ARMSTRONG COUNTY,297
007901,CHARLOTTE ISD,ATASCOSA COUNTY,424
007902,JOURDANTON ISD,ATASCOSA COUNTY,1554
007904,LYTLE ISD,ATASCOSA COUNTY,1825
007905,PLEASANTON ISD,ATASCOSA COUNTY,3406
007906,POTEET ISD,ATASCOSA COUNTY,1837
008901,BELLVILLE ISD,AUSTIN COUNTY,2315
008902,SEALY ISD,AUSTIN COUNTY,3109
008903,BRAZOS ISD,AUSTIN COUNTY,866
009901,MULESHOE ISD,BAILEY COUNTY,1330
010901,MEDINA ISD,BANDERA COUNTY,243
010902,BANDERA ISD,BANDERA COUNTY,2218
011901,BASTROP ISD,BASTROP COUNTY,13370
011902,ELGIN ISD,BASTROP COUNTY,5959
011904,SMITHVILLE ISD,BASTROP COUNTY,1849
011905,MCDADE ISD,BASTROP COUNTY,377
012901,SEYMOUR ISD,BAYLOR COUNTY,594
013801,ST MARY'S ACADEMY CHARTER SCHOOL,BEE COUNTY,282
013901,BEEVILLE ISD,BEE COUNTY,3033
013902,PAWNEE ISD,BEE COUNTY,630
013903,PETTUS ISD,BEE COUNTY,377
013905,SKIDMORE-TYNAN ISD,BEE COUNTY,775
014803,PRIORITY CHARTER SCHOOLS,BELL COUNTY,504
014804,ORENDA CHARTER SCHOOL,BELL COUNTY,1984
014901,ACADEMY ISD,BELL COUNTY,1832
014902,BARTLETT ISD,BELL COUNTY,393
014903,BELTON ISD,BELL COUNTY,13697
014905,HOLLAND ISD,BELL COUNTY,646
014906,KILLEEN ISD,BELL COUNTY,42883
014907,ROGERS ISD,BELL COUNTY,893
